Wall time,Step,Value
1598021366.1890206,5,51.0
1598021367.28517,18,51.0
1598021367.7989771,24,51.0
1598021369.1605892,40,51.0
1598021369.3455982,42,52.0
1598021369.5962327,45,51.0
1598021370.2819111,53,51.0
1598021370.548159,56,51.0
1598021371.8582141,71,51.0
1598021372.1157746,74,51.0
1598021373.8294559,94,51.0
1598021374.5098276,102,51.0
1598021374.8459673,106,51.0
1598021376.5535803,126,51.0
1598021377.647607,139,51.0
1598021379.010871,155,51.0
1598021379.2635298,158,51.0
1598021380.029593,167,51.0
1598021380.9582083,178,51.0
1598021381.3866916,183,51.0
1598021381.5539453,185,51.0
1598021381.969087,190,51.0
1598021383.4172354,207,51.0
1598021385.3369267,229,51.0
1598021385.7770245,234,51.0
1598021387.0530117,249,51.0
1598021387.5964446,255,51.0
1598021388.013581,260,51.0
1598021388.6139486,267,51.0
1598021389.1314478,273,51.0
1598021390.7621398,292,51.0
1598021392.105296,308,51.0
1598021392.2742999,310,51.0
1598021392.944136,318,51.0
1598021393.9618511,330,51.0
1598021394.72368,339,51.0
1598021395.398675,347,51.0
1598021396.7503757,363,51.0
1598021397.082446,367,51.0
1598021401.7588513,421,51.0
1598021401.8424613,422,51.0
1598021403.283015,439,51.0
1598021403.540365,442,51.0
1598021403.8040793,445,51.0
1598021405.123846,460,51.0
1598021405.4184213,463,51.0
1598021405.502775,464,51.0
1598021406.3617258,474,51.0
1598021407.8477166,491,51.0
1598021408.0198853,493,51.0
1598021409.8524387,514,51.0
1598021411.3350966,531,51.0
1598021411.7660499,536,51.0
1598021414.0832746,563,51.0
1598021414.9490936,573,51.0
1598021415.454958,579,52.0
1598021415.6159692,581,51.0
1598021416.0336246,586,51.0
1598021416.1169362,587,51.0
1598021417.4016466,602,51.0
1598021418.9135172,620,51.0
1598021419.086447,622,51.0
1598021420.1313012,634,51.0
1598021420.7356322,641,51.0
1598021420.8201866,642,51.0
1598021420.9991658,644,51.0
1598021421.2559485,647,51.0
1598021421.426497,649,51.0
1598021422.4883134,661,51.0
1598021423.340749,671,51.0
1598021424.3584714,683,51.0
1598021424.7719185,688,51.0
1598021427.0143294,714,51.0
1598021427.3590949,718,51.0
1598021427.7078037,722,51.0
1598021427.7912257,723,51.0
1598021428.3828626,730,51.0
1598021429.1464384,739,51.0
1598021429.4929953,743,51.0
1598021429.8317564,747,51.0
1598021430.2696414,752,51.0
1598021430.6041157,756,51.0
1598021431.3733466,765,51.0
1598021431.7092886,769,51.0
1598021431.8845816,771,51.0
1598021432.0534832,773,51.0
1598021432.6560063,780,51.0
1598021433.113617,785,51.0
1598021433.2843256,787,51.0
1598021433.7170854,792,51.0
1598021433.9262512,794,51.0
1598021434.2686877,798,51.0
1598021434.6210713,802,51.0
1598021435.1281958,808,51.0
1598021435.2148776,809,51.0
1598021437.223244,832,51.0
1598021437.568813,836,51.0
1598021440.4345849,869,51.0
1598021441.0319843,876,51.0
1598021441.5656097,882,51.0
1598021442.7836697,896,51.0
1598021443.1289341,900,51.0
1598021443.7324266,907,51.0
1598021443.9006867,909,51.0
1598021444.420167,915,51.0
1598021444.5875618,917,51.0
1598021445.787517,931,51.0
1598021445.8701882,932,51.0
1598021446.754375,942,51.0
1598021447.0264952,945,51.0
1598021447.798732,954,51.0
1598021448.1367328,958,52.0
1598021448.4955392,962,51.0
