Wall time,Step,Value
1598021366.1889043,5,51.0
1598021367.2850478,18,152.0
1598021367.7988513,24,253.0
1598021369.160472,40,354.0
1598021369.345478,42,151.0
1598021369.596115,45,354.0
1598021370.2817864,53,152.0
1598021370.5480356,56,354.0
1598021371.85809,71,51.0
1598021372.115654,74,253.0
1598021373.8293386,94,152.0
1598021374.5096617,102,152.0
1598021374.8458488,106,152.0
1598021376.5534585,126,51.0
1598021377.6474926,139,253.0
1598021379.0107477,155,51.0
1598021379.2634125,158,51.0
1598021380.029478,167,51.0
1598021380.9580858,178,253.0
1598021381.3865714,183,152.0
1598021381.553793,185,152.0
1598021381.9689667,190,253.0
1598021383.4171128,207,51.0
1598021385.336808,229,354.0
1598021385.7768974,234,152.0
1598021387.0528972,249,152.0
1598021387.5963295,255,152.0
1598021388.0134618,260,253.0
1598021388.6138322,267,253.0
1598021389.1313229,273,152.0
1598021390.7620156,292,354.0
1598021392.1051788,308,253.0
1598021392.274185,310,253.0
1598021392.944017,318,152.0
1598021393.9616919,330,253.0
1598021394.7235625,339,253.0
1598021395.3985548,347,152.0
1598021396.7502587,363,152.0
1598021397.0823295,367,253.0
1598021401.758715,421,152.0
1598021401.842343,422,354.0
1598021403.2828968,439,354.0
1598021403.5402398,442,152.0
1598021403.803952,445,152.0
1598021405.123712,460,152.0
1598021405.4182951,463,354.0
1598021405.502639,464,253.0
1598021406.3615983,474,152.0
1598021407.8475814,491,253.0
1598021408.0197651,493,152.0
1598021409.8523197,514,253.0
1598021411.3349698,531,51.0
1598021411.7659283,536,455.0
1598021414.0831592,563,354.0
1598021414.9489717,573,253.0
1598021415.4548423,579,454.0
1598021415.6158504,581,152.0
1598021416.0335083,586,253.0
1598021416.1168242,587,354.0
1598021417.401525,602,253.0
1598021418.9133904,620,152.0
1598021419.0863326,622,354.0
1598021420.1311784,634,455.0
1598021420.7354846,641,354.0
1598021420.8200653,642,354.0
1598021420.9990423,644,354.0
1598021421.2558272,647,354.0
1598021421.4263792,649,152.0
1598021422.488185,661,455.0
1598021423.3406281,671,354.0
1598021424.3583515,683,455.0
1598021424.7718008,688,152.0
1598021427.014207,714,152.0
1598021427.3589802,718,152.0
1598021427.7076862,722,253.0
1598021427.7911036,723,152.0
1598021428.3827455,730,51.0
1598021429.1463256,739,253.0
1598021429.4928741,743,354.0
1598021429.8316386,747,152.0
1598021430.26952,752,253.0
1598021430.6040006,756,354.0
1598021431.3732276,765,152.0
1598021431.7091691,769,354.0
1598021431.88446,771,354.0
1598021432.0533605,773,253.0
1598021432.6558871,780,354.0
1598021433.1134963,785,354.0
1598021433.2842064,787,253.0
1598021433.7169302,792,354.0
1598021433.9261205,794,152.0
1598021434.2685578,798,152.0
1598021434.6208754,802,253.0
1598021435.128071,808,253.0
1598021435.2147377,809,354.0
1598021437.2231135,832,253.0
1598021437.5686898,836,152.0
1598021440.4344614,869,455.0
1598021441.031867,876,253.0
1598021441.5654962,882,354.0
1598021442.7835517,896,253.0
1598021443.1288152,900,354.0
1598021443.7323074,907,253.0
1598021443.9005625,909,354.0
1598021444.420044,915,354.0
1598021444.5874445,917,455.0
1598021445.787398,931,253.0
1598021445.8700624,932,253.0
1598021446.7542489,942,354.0
1598021447.0263765,945,354.0
1598021447.7986135,954,354.0
1598021448.136613,958,353.0
1598021448.495411,962,455.0
1598021449.274991,971,354.0
1598021449.3627892,972,354.0
1598021449.8667278,978,354.0
1598021449.9519792,979,152.0
1598021450.3960624,984,253.0
1598021451.4476962,996,253.0
1598021451.9652715,1002,455.0
1598021452.218777,1005,253.0
1598021452.9595897,1014,570.0
1598021453.8771408,1025,354.0
1598021455.4877481,1044,354.0
1598021456.5951722,1057,354.0
1598021457.109809,1063,152.0
1598021457.3640893,1066,455.0
1598021457.5341296,1068,253.0
1598021457.881719,1072,354.0
1598021458.4014244,1078,354.0
1598021458.8339975,1083,354.0
1598021459.6946657,1093,253.0
1598021460.2145019,1099,253.0
