Wall time,Step,Value
1598023366.9222229,5,51.0
1598023367.0557737,6,51.0
1598023367.5976703,10,51.0
1598023367.7332985,11,51.0
1598023368.0021896,13,51.0
1598023368.1339462,14,51.0
1598023368.2767444,15,51.0
1598023368.683263,18,51.0
1598023368.8193657,19,51.0
1598023368.9530606,20,51.0
1598023369.50485,24,51.0
1598023370.7833636,33,51.0
1598023370.9230828,34,51.0
1598023371.2070591,36,51.0
1598023371.7596045,40,51.0
1598023372.0339904,42,51.0
1598023372.3344407,44,51.0
1598023372.4755218,45,51.0
1598023372.7500386,47,51.0
1598023373.0348394,49,51.0
1598023373.1732824,50,51.0
1598023373.5926294,53,51.0
1598023373.73457,54,51.0
1598023373.875819,55,51.0
1598023374.025166,56,51.0
1598023374.1667843,57,51.0
1598023374.7314982,61,51.0
1598023375.009178,63,51.0
1598023375.310594,65,51.0
1598023375.4526951,66,51.0
1598023375.5920699,67,51.0
1598023375.7338848,68,51.0
1598023376.1525986,71,51.0
1598023376.3001742,72,51.0
1598023376.4476116,73,51.0
1598023376.5895839,74,51.0
1598023377.3207338,79,51.0
1598023378.05988,84,51.0
1598023378.1968675,85,51.0
1598023378.3407397,86,51.0
1598023378.4828076,87,51.0
1598023378.6293135,88,51.0
1598023378.7848113,89,51.0
1598023379.4881139,94,51.0
1598023380.6424847,102,51.0
1598023381.0702028,105,52.0
1598023381.2162654,106,51.0
1598023382.190727,113,51.0
1598023382.6146936,116,51.0
1598023382.875166,118,44.0
1598023383.0154464,119,51.0
1598023383.7192085,124,51.0
1598023383.8600798,125,51.0
1598023383.9998496,126,51.0
1598023384.427173,129,51.0
1598023384.5666986,130,51.0
1598023385.5751295,137,51.0
1598023385.8631496,139,51.0
1598023386.1484637,141,51.0
1598023386.2995477,142,51.0
1598023386.4381182,143,51.0
1598023386.5784507,144,51.0
1598023387.4395602,150,51.0
1598023387.8582647,153,49.0
1598023388.136898,155,51.0
1598023388.4277787,157,51.0
1598023388.5679324,158,51.0
1598023388.7151313,159,51.0
1598023389.1627183,162,51.0
1598023389.4585848,164,51.0
1598023389.6040041,165,51.0
1598023389.8899486,167,51.0
1598023390.0326507,168,51.0
1598023390.5565255,171,51.0
1598023391.2697763,176,51.0
1598023391.4126384,177,51.0
1598023391.5548499,178,51.0
1598023391.8417804,180,51.0
1598023392.2803056,183,51.0
1598023392.5608582,185,51.0
1598023392.7023222,186,51.0
1598023392.9833286,188,51.0
1598023393.2701902,190,51.0
1598023393.4098897,191,51.0
1598023394.4272637,198,51.0
1598023395.581699,206,51.0
1598023395.7247388,207,51.0
1598023395.872148,208,51.0
1598023396.4570436,212,51.0
1598023396.8842716,215,51.0
1598023397.3186967,218,51.0
1598023397.46128,219,51.0
1598023397.9116554,222,51.0
1598023398.0646884,223,51.0
1598023398.3907716,225,51.0
1598023398.5495155,226,51.0
1598023398.707396,227,51.0
1598023399.0122638,229,51.0
1598023399.503974,232,51.0
1598023399.6656098,233,52.0
1598023399.8180892,234,51.0
1598023400.302615,237,51.0
1598023401.4877555,245,51.0
1598023401.8017974,247,51.0
1598023402.2127366,249,51.0
1598023403.4355288,255,51.0
1598023403.9580398,258,51.0
1598023404.15345,259,51.0
1598023404.3381772,260,51.0
1598023404.5412521,261,51.0
1598023404.9065866,263,52.0
1598023405.7442656,267,51.0
1598023406.110067,269,51.0
1598023406.4763842,271,51.0
1598023406.8207028,273,51.0
1598023407.7015352,278,51.0
1598023408.0439603,280,51.0
1598023408.748957,284,51.0
1598023409.6136556,289,51.0
1598023409.9430416,291,51.0
1598023410.1053798,292,51.0
1598023411.0012722,297,51.0
1598023411.1598964,298,51.0
1598023411.3327222,299,51.0
1598023411.6703315,301,51.0
1598023411.8749588,302,51.0
1598023412.0628994,303,51.0
1598023412.765235,307,51.0
1598023412.935519,308,51.0
1598023413.2832837,310,51.0
1598023413.816495,313,51.0
1598023414.533362,317,51.0
1598023414.7114944,318,51.0
1598023414.8748913,319,51.0
1598023415.0534854,320,51.0
1598023415.4141645,322,51.0
1598023416.0127685,325,51.0
1598023416.1912525,326,51.0
1598023416.370142,327,51.0
1598023416.9224706,330,51.0
1598023417.0872073,331,51.0
1598023417.4394684,333,51.0
1598023418.537805,339,51.0
1598023418.9568722,341,51.0
1598023419.528042,344,51.0
1598023419.7411883,345,51.0
1598023420.141645,347,51.0
1598023420.314754,348,51.0
1598023421.2526135,353,51.0
1598023421.4287896,354,51.0
1598023421.7933517,356,51.0
1598023422.1601744,358,51.0
1598023422.3531961,359,51.0
1598023422.515288,360,51.0
1598023423.0419676,363,51.0
1598023423.6898296,367,51.0
1598023423.8360653,368,51.0
1598023424.1444945,370,51.0
1598023424.3236058,371,51.0
1598023424.6383314,373,51.0
1598023425.220889,377,51.0
1598023425.3738568,378,51.0
1598023425.5202491,379,51.0
1598023425.853051,381,51.0
1598023426.0178201,382,51.0
1598023426.7402215,386,51.0
1598023426.899902,387,51.0
1598023427.0605438,388,51.0
1598023427.3912284,390,51.0
1598023427.5598428,391,51.0
1598023427.765959,392,51.0
1598023427.9714618,393,51.0
1598023429.746592,402,51.0
1598023429.9697356,403,51.0
1598023430.9256215,408,51.0
1598023432.22048,415,51.0
1598023432.3950605,416,51.0
1598023433.1294038,420,51.0
1598023433.3127513,421,51.0
1598023433.4600458,422,51.0
1598023433.7463696,424,51.0
1598023434.0302215,426,51.0
1598023434.6622245,430,51.0
1598023436.0087922,439,51.0
1598023436.1527207,440,51.0
1598023436.3037422,441,51.0
1598023436.447776,442,51.0
1598023436.9279807,445,52.0
1598023437.3705766,448,51.0
1598023437.7731576,451,51.0
1598023438.8301024,458,51.0
1598023438.9929743,459,51.0
1598023439.1516721,460,51.0
1598023439.309388,461,51.0
1598023439.5940835,463,51.0
1598023439.7420552,464,51.0
1598023440.194635,467,51.0
1598023440.3429174,468,51.0
1598023440.485016,469,51.0
1598023440.955299,473,48.0
1598023441.1069443,474,51.0
1598023441.6524143,478,50.0
1598023442.7318077,485,51.0
1598023443.169999,488,51.0
1598023443.3213289,489,51.0
1598023443.6090698,491,51.0
1598023443.852132,493,51.0
1598023444.29528,496,51.0
1598023445.8496609,507,35.0
1598023446.2882683,510,49.0
1598023446.4311552,511,51.0
1598023446.5785172,512,51.0
1598023446.8888443,514,51.0
1598023447.1559312,516,35.0
1598023447.3318248,517,51.0
1598023447.592751,519,51.0
1598023448.3581114,524,51.0
1598023448.5037282,525,51.0
1598023449.2523758,531,51.0
1598023449.4964397,533,35.0
1598023449.6666462,534,51.0
1598023449.8297884,535,51.0
1598023449.9186687,536,29.0
1598023450.0201566,537,34.0
1598023450.1038938,538,26.0
1598023450.2189548,539,38.0
1598023450.315835,540,31.0
1598023450.4904053,541,51.0
1598023450.579263,542,29.0
1598023450.8685842,544,46.0
1598023451.3121428,547,51.0
1598023451.4714546,548,51.0
1598023451.6298566,549,51.0
1598023451.9167142,551,51.0
1598023452.4386475,555,42.0
1598023452.7522514,557,51.0
1598023452.967915,559,51.0
1598023453.6050892,563,51.0
1598023453.7633402,564,51.0
1598023453.836057,565,26.0
1598023454.0563629,567,51.0
1598023454.3238182,569,42.0
1598023454.5812633,571,40.0
1598023454.8288956,573,51.0
1598023454.975323,574,51.0
1598023455.4498649,577,51.0
1598023455.767084,579,51.0
1598023455.9211528,580,51.0
1598023456.0738292,581,52.0
1598023456.2016802,582,42.0
1598023456.3569965,583,51.0
1598023456.5124493,584,51.0
1598023456.8547919,586,45.0
1598023457.0190063,587,47.0
