Wall time,Step,Value
1598023366.9223084,5,354.0
1598023367.055858,6,152.0
1598023367.5977752,10,152.0
1598023367.7333825,11,253.0
1598023368.0022871,13,253.0
1598023368.1340506,14,455.0
1598023368.2768297,15,253.0
1598023368.4161723,16,253.0
1598023368.5492847,17,253.0
1598023368.6833463,18,253.0
1598023368.8194492,19,152.0
1598023368.9531436,20,455.0
1598023369.5049317,24,152.0
1598023369.6498604,25,51.0
1598023370.7834506,33,152.0
1598023370.9231722,34,253.0
1598023371.207224,36,253.0
1598023371.6243613,39,152.0
1598023371.759688,40,455.0
1598023372.0340755,42,253.0
1598023372.189845,43,354.0
1598023372.334535,44,152.0
1598023372.4756064,45,152.0
1598023372.7501273,47,152.0
1598023373.034922,49,253.0
1598023373.173367,50,152.0
1598023373.5927155,53,354.0
1598023373.7346594,54,152.0
1598023373.8759058,55,152.0
1598023374.0252526,56,253.0
1598023374.1668737,57,253.0
1598023374.5901992,60,51.0
1598023374.7315807,61,253.0
1598023375.009267,63,354.0
1598023375.3106782,65,354.0
1598023375.4527788,66,51.0
1598023375.5921571,67,253.0
1598023375.7339735,68,253.0
1598023376.1526892,71,152.0
1598023376.300273,72,152.0
1598023376.4476976,73,253.0
1598023376.5897024,74,253.0
1598023376.8928676,76,152.0
1598023377.3208218,79,253.0
1598023378.0599635,84,152.0
1598023378.1969507,85,354.0
1598023378.3408246,86,253.0
1598023378.4828925,87,253.0
1598023378.6294162,88,253.0
1598023378.7849076,89,152.0
1598023379.488198,94,152.0
1598023380.64257,102,354.0
1598023380.9221897,104,455.0
1598023381.0702922,105,252.0
1598023381.2163904,106,152.0
1598023382.1908119,113,354.0
1598023382.614779,116,354.0
1598023382.8752568,118,563.0
1598023383.015533,119,354.0
1598023383.152122,120,152.0
1598023383.7192934,124,152.0
1598023383.8601632,125,253.0
1598023383.999937,126,152.0
1598023384.4272559,129,253.0
1598023384.5667822,130,354.0
1598023384.9992375,133,253.0
1598023385.575235,137,354.0
1598023385.863235,139,253.0
1598023386.1485465,141,455.0
1598023386.2996361,142,253.0
1598023386.4382052,143,253.0
1598023386.5785415,144,354.0
1598023386.7257106,145,253.0
1598023386.866473,146,354.0
1598023387.1482174,148,253.0
1598023387.4396524,150,354.0
1598023387.8583503,153,558.0
1598023387.9958017,154,152.0
1598023388.1369877,155,152.0
1598023388.4278615,157,253.0
1598023388.568015,158,253.0
1598023388.7152157,159,354.0
1598023389.1628191,162,152.0
1598023389.458672,164,51.0
1598023389.6041012,165,455.0
1598023389.8900485,167,354.0
1598023390.0327365,168,152.0
1598023390.556617,171,253.0
1598023391.1232557,175,152.0
1598023391.2698734,176,152.0
1598023391.4127202,177,253.0
1598023391.554938,178,354.0
1598023391.841863,180,152.0
1598023391.9852192,181,253.0
1598023392.280393,183,152.0
1598023392.5609436,185,253.0
1598023392.7024121,186,253.0
1598023392.8427641,187,253.0
1598023392.9834175,188,253.0
1598023393.2702787,190,152.0
1598023393.4099746,191,253.0
1598023394.4273484,198,253.0
1598023394.99654,202,455.0
1598023395.5818226,206,253.0
1598023395.7248285,207,152.0
1598023395.872236,208,354.0
1598023396.4571283,212,253.0
1598023396.598092,213,455.0
1598023396.7428088,214,354.0
1598023396.884353,215,354.0
1598023397.3187842,218,354.0
1598023397.461366,219,152.0
1598023397.911748,222,354.0
1598023398.0647817,223,253.0
1598023398.3908782,225,253.0
1598023398.5496154,226,253.0
1598023398.7074902,227,253.0
1598023399.0123618,229,253.0
1598023399.1697695,230,253.0
1598023399.3431516,231,354.0
1598023399.504074,232,354.0
1598023399.6657221,233,252.0
1598023399.8181872,234,152.0
1598023400.302713,237,253.0
1598023400.4531145,238,253.0
1598023400.746741,240,152.0
1598023401.3384929,244,253.0
1598023401.487847,245,455.0
1598023401.8019366,247,253.0
1598023402.212945,249,253.0
1598023402.3854194,250,253.0
1598023403.43566,255,253.0
1598023403.9581745,258,354.0
1598023404.1535344,259,253.0
1598023404.3382773,260,354.0
1598023404.5414033,261,253.0
1598023404.906712,263,353.0
1598023405.744382,267,354.0
1598023406.110206,269,253.0
1598023406.4765358,271,253.0
1598023406.6521416,272,253.0
1598023406.8208034,273,253.0
1598023407.532883,277,253.0
1598023407.7016299,278,354.0
1598023408.0440683,280,253.0
1598023408.4088535,282,354.0
1598023408.749041,284,152.0
1598023409.6137583,289,354.0
1598023409.9431663,291,253.0
1598023410.1054668,292,253.0
1598023410.6772194,295,253.0
1598023411.0013728,297,354.0
1598023411.160022,298,354.0
1598023411.3328094,299,253.0
1598023411.6704242,301,354.0
1598023411.8751025,302,253.0
1598023412.0629942,303,354.0
1598023412.765399,307,354.0
1598023412.935616,308,253.0
1598023413.2833817,310,253.0
1598023413.8165903,313,354.0
1598023414.533456,317,253.0
1598023414.71159,318,354.0
1598023414.8750381,319,354.0
1598023415.0535822,320,354.0
1598023415.4142523,322,253.0
1598023416.012887,325,354.0
1598023416.1913886,326,354.0
1598023416.3702452,327,253.0
1598023416.9225824,330,354.0
1598023417.0872915,331,253.0
1598023417.439622,333,354.0
1598023418.5379698,339,152.0
1598023418.9569862,341,253.0
1598023419.144708,342,455.0
1598023419.347323,343,354.0
1598023419.5281553,344,152.0
1598023419.7413442,345,253.0
1598023420.1417944,347,354.0
1598023420.3148432,348,253.0
1598023421.2527816,353,253.0
1598023421.428916,354,253.0
1598023421.793488,356,354.0
1598023422.1602883,358,152.0
1598023422.3532977,359,354.0
1598023422.5153885,360,354.0
1598023423.0421128,363,354.0
1598023423.2108738,364,455.0
1598023423.3684993,365,455.0
1598023423.6899228,367,354.0
1598023423.8361516,368,354.0
1598023424.144606,370,253.0
1598023424.3237002,371,253.0
1598023424.6384594,373,253.0
1598023424.9266841,375,354.0
1598023425.2210004,377,354.0
1598023425.3739526,378,152.0
1598023425.5203407,379,253.0
1598023425.8531392,381,253.0
1598023426.017919,382,253.0
1598023426.5751867,385,253.0
1598023426.7403295,386,253.0
1598023426.8999982,387,354.0
1598023427.0606508,388,354.0
1598023427.3913794,390,354.0
1598023427.5599692,391,253.0
1598023427.7661772,392,253.0
1598023427.9715762,393,253.0
1598023428.8725877,398,354.0
1598023429.746711,402,455.0
1598023429.969919,403,253.0
1598023430.390434,405,455.0
1598023430.9257684,408,354.0
1598023432.2206016,415,253.0
1598023432.395186,416,152.0
1598023433.1295009,420,354.0
1598023433.312841,421,455.0
1598023433.4601352,422,354.0
1598023433.7464607,424,455.0
1598023434.0303245,426,152.0
1598023434.3593771,428,253.0
1598023434.6623328,430,455.0
1598023436.0088804,439,354.0
1598023436.1528046,440,152.0
1598023436.3038385,441,354.0
1598023436.44786,442,253.0
1598023436.7751586,444,253.0
1598023436.9280636,445,454.0
1598023437.3706632,448,455.0
1598023437.7732434,451,152.0
1598023438.675088,457,455.0
1598023438.830194,458,354.0
1598023438.9930654,459,253.0
1598023439.1517568,460,455.0
1598023439.3094792,461,455.0
1598023439.594181,463,354.0
1598023439.7421465,464,354.0
1598023439.8861175,465,455.0
1598023440.1947305,467,354.0
1598023440.3430076,468,455.0
1598023440.485101,469,455.0
1598023440.7309275,471,253.0
1598023440.9553866,473,559.0
1598023441.1070473,474,455.0
1598023441.6525056,478,557.0
1598023442.7319262,485,455.0
1598023442.8793724,486,455.0
1598023443.170084,488,455.0
1598023443.321421,489,354.0
1598023443.6091623,491,455.0
1598023443.852216,493,455.0
1598023444.295368,496,354.0
1598023445.374011,503,557.0
1598023445.74622,506,562.0
1598023445.8497732,507,572.0
1598023446.2883525,510,558.0
1598023446.4312458,511,455.0
1598023446.5786,512,253.0
1598023446.8889306,514,455.0
1598023447.0430756,515,556.0
1598023447.1560278,516,572.0
1598023447.3319144,517,455.0
1598023447.5928388,519,455.0
1598023448.3582065,524,455.0
1598023448.5038173,525,253.0
1598023449.2524688,531,253.0
1598023449.4965255,533,572.0
1598023449.6667638,534,253.0
1598023449.8298779,535,354.0
1598023449.9187686,536,578.0
1598023450.020247,537,573.0
1598023450.1039863,538,581.0
1598023450.219077,539,569.0
1598023450.3159397,540,576.0
1598023450.4905074,541,455.0
1598023450.5793493,542,578.0
1598023450.8686702,544,561.0
1598023451.312235,547,455.0
1598023451.4715571,548,354.0
1598023451.6299477,549,455.0
1598023451.916807,551,455.0
1598023452.021171,552,569.0
1598023452.4387524,555,565.0
1598023452.752343,557,455.0
1598023452.9680068,559,354.0
1598023453.1294181,560,555.0
1598023453.605182,563,354.0
1598023453.7634254,564,455.0
1598023453.8361378,565,581.0
1598023454.0564482,567,455.0
1598023454.187112,568,563.0
1598023454.3239274,569,565.0
1598023454.5813463,571,567.0
