Wall time,Step,Value
1597518157.7749822,5,51.0
1597518158.0085745,6,51.0
1597518158.9876685,10,51.0
1597518159.2346213,11,51.0
1597518159.7145538,13,51.0
1597518159.9642713,14,51.0
1597518160.2013733,15,51.0
1597518160.4403386,16,51.0
1597518160.686463,17,51.0
1597518160.9472084,18,51.0
1597518161.209424,19,51.0
1597518161.4523222,20,51.0
1597518162.438414,24,51.0
1597518162.6770792,25,51.0
1597518164.7073832,33,51.0
1597518164.959158,34,51.0
1597518165.5311327,36,51.0
1597518166.2679043,39,51.0
1597518166.5227299,40,51.0
1597518167.032524,42,51.0
1597518167.2732542,43,51.0
1597518167.52945,44,51.0
1597518167.7760413,45,51.0
1597518168.2466705,47,51.0
1597518168.7155612,49,51.0
1597518168.9497387,50,51.0
1597518169.7429914,53,51.0
1597518170.010481,54,51.0
1597518170.2749014,55,51.0
1597518170.5333273,56,51.0
1597518170.7961886,57,51.0
1597518171.5803769,60,51.0
1597518171.877046,61,51.0
1597518172.436594,63,51.0
1597518172.9417791,65,51.0
1597518173.196224,66,51.0
1597518173.4597354,67,51.0
1597518173.7210553,68,51.0
1597518174.5270662,71,51.0
1597518174.798384,72,51.0
1597518175.0740347,73,51.0
1597518175.3393052,74,51.0
1597518175.8736243,76,51.0
1597518176.8066258,79,52.0
1597518178.3024755,84,51.0
1597518178.5684865,85,51.0
1597518178.8309798,86,51.0
1597518179.1358955,87,51.0
1597518179.3857963,88,51.0
1597518179.6309304,89,51.0
1597518180.9673133,94,52.0
1597518183.0266857,102,51.0
1597518183.6282468,104,51.0
1597518183.9282396,105,51.0
1597518184.2899714,106,51.0
1597518186.2788265,113,51.0
1597518187.2420568,116,51.0
1597518187.752547,118,51.0
1597518187.9900875,119,51.0
1597518188.2375636,120,52.0
1597518189.221408,124,51.0
1597518189.4701016,125,51.0
1597518189.7345026,126,51.0
1597518190.5235379,129,51.0
1597518190.7863836,130,51.0
1597518191.6418307,133,51.0
1597518192.615777,137,51.0
1597518193.0946827,139,51.0
1597518193.583081,141,51.0
1597518193.821808,142,51.0
1597518194.0681076,143,51.0
1597518194.3080916,144,51.0
1597518194.7867026,146,51.0
1597518195.2731745,148,51.0
1597518195.775571,150,51.0
1597518196.7050219,153,51.0
1597518196.942814,154,51.0
1597518197.187951,155,51.0
1597518197.6870656,157,51.0
1597518197.946369,158,51.0
1597518198.1863678,159,51.0
1597518198.9141743,162,51.0
1597518199.423135,164,51.0
1597518199.661692,165,51.0
1597518200.1525652,167,51.0
1597518200.4110546,168,51.0
1597518201.1506069,171,51.0
1597518202.245265,175,51.0
1597518202.5067334,176,51.0
1597518202.7473254,177,51.0
1597518202.9822288,178,51.0
1597518203.4559007,180,51.0
1597518203.706892,181,51.0
1597518204.2238255,183,51.0
1597518204.711012,185,51.0
1597518204.954273,186,51.0
1597518205.1965718,187,51.0
1597518205.4341588,188,51.0
1597518206.0037131,190,51.0
1597518206.272755,191,51.0
1597518208.0238245,198,51.0
1597518209.033508,202,45.0
1597518209.9370246,206,51.0
1597518210.190228,207,51.0
1597518210.4415064,208,51.0
1597518211.4639862,212,51.0
1597518211.7003558,213,51.0
1597518211.9374583,214,51.0
1597518212.1761584,215,51.0
1597518212.9311585,218,51.0
1597518213.1939015,219,51.0
1597518213.9764242,222,51.0
1597518214.2343004,223,51.0
1597518214.750769,225,51.0
1597518215.0061677,226,51.0
1597518215.282746,227,51.0
1597518215.8592875,229,51.0
1597518216.132156,230,51.0
1597518216.4262712,231,51.0
1597518216.7504728,232,51.0
1597518217.0504284,233,51.0
1597518217.3862195,234,51.0
1597518218.218839,237,51.0
1597518218.513652,238,51.0
1597518219.0270033,240,51.0
1597518220.10432,244,52.0
1597518220.3944387,245,51.0
1597518220.8913746,247,30.0
1597518221.392307,249,51.0
1597518221.6818643,250,51.0
1597518223.1752923,255,51.0
1597518224.0886505,258,51.0
1597518224.427262,259,51.0
1597518224.7694783,260,51.0
1597518225.119506,261,51.0
1597518225.713981,263,51.0
1597518226.8856077,267,51.0
1597518227.4327602,269,51.0
1597518228.0001454,271,51.0
1597518228.2908225,272,51.0
1597518228.573955,273,51.0
1597518229.6351528,277,49.0
1597518229.8785422,278,51.0
1597518230.3734841,280,51.0
1597518231.4068696,284,51.0
1597518232.7523112,289,51.0
1597518233.3299446,291,51.0
1597518233.6117122,292,51.0
1597518234.4224164,295,51.0
1597518234.918948,297,51.0
1597518235.1574447,298,51.0
1597518235.4367204,299,46.0
1597518235.9845154,301,51.0
1597518236.2495704,302,51.0
1597518236.5283208,303,51.0
1597518237.6458163,307,51.0
1597518237.9334009,308,51.0
1597518238.4815297,310,51.0
1597518239.3318489,313,51.0
1597518240.4622555,317,51.0
1597518240.7392228,318,51.0
1597518241.0197053,319,51.0
1597518241.2931445,320,51.0
1597518241.8019114,322,51.0
1597518242.5086892,325,51.0
1597518242.7411008,326,51.0
1597518242.9797814,327,51.0
1597518243.7185943,330,51.0
1597518243.9804096,331,51.0
1597518244.4640565,333,51.0
1597518245.9299436,339,51.0
1597518246.4327395,341,51.0
1597518246.9543753,343,51.0
1597518247.2091503,344,51.0
1597518247.5164843,345,51.0
1597518248.0132513,347,51.0
1597518248.2822046,348,51.0
1597518249.6561868,353,51.0
1597518249.9225338,354,51.0
1597518250.447473,356,51.0
1597518250.9456427,358,51.0
1597518251.184885,359,51.0
1597518251.423518,360,51.0
1597518252.159971,363,42.0
1597518252.4098454,364,51.0
1597518252.6793914,365,51.0
1597518253.2370725,367,51.0
1597518253.5144427,368,51.0
1597518254.1038868,370,51.0
1597518254.4586313,371,51.0
1597518254.990598,373,51.0
1597518255.5162184,375,51.0
1597518256.104029,377,51.0
1597518256.37993,378,51.0
1597518256.6558282,379,51.0
1597518257.2237067,381,51.0
1597518257.4936855,382,51.0
1597518258.2362585,385,51.0
1597518258.5087562,386,51.0
1597518258.7494779,387,51.0
1597518258.990468,388,51.0
1597518259.481209,390,51.0
1597518259.7324085,391,51.0
1597518260.0075479,392,51.0
1597518260.2840512,393,51.0
1597518262.5900252,402,51.0
1597518262.8616598,403,51.0
1597518263.3748248,405,51.0
1597518264.2025187,408,51.0
1597518266.264301,415,51.0
1597518266.5455508,416,51.0
1597518267.7756188,420,51.0
1597518268.1191573,421,51.0
1597518268.490412,422,52.0
1597518269.2327704,424,51.0
1597518270.0419762,426,51.0
1597518270.7755644,428,39.0
1597518271.3249848,430,51.0
1597518273.6653624,439,51.0
1597518273.9403505,440,51.0
1597518274.2325842,441,51.0
1597518274.51122,442,51.0
1597518275.0720572,444,51.0
1597518275.288682,445,41.0
1597518276.0345347,448,51.0
1597518276.7826142,451,51.0
1597518278.3238354,457,51.0
1597518278.595456,458,51.0
1597518278.8622143,459,51.0
1597518279.1272998,460,51.0
1597518279.3953352,461,52.0
1597518279.924077,463,51.0
1597518280.1736424,464,51.0
1597518280.422874,465,51.0
1597518280.9482863,467,51.0
1597518281.232516,468,51.0
1597518281.5022705,469,51.0
1597518282.1083145,471,51.0
1597518282.6660726,473,51.0
1597518282.9300957,474,51.0
1597518284.0604498,478,51.0
1597518286.072316,485,51.0
1597518286.9110346,488,51.0
1597518287.1597297,489,51.0
1597518287.7403762,491,51.0
1597518288.3246782,493,51.0
1597518289.344644,496,51.0
1597518291.781696,503,51.0
1597518292.6134574,506,51.0
1597518292.8731756,507,51.0
1597518293.6675391,510,51.0
1597518293.9527597,511,51.0
1597518294.207769,512,51.0
1597518294.7092009,514,51.0
1597518295.0365174,515,51.0
1597518295.2894695,516,51.0
1597518295.5384264,517,51.0
1597518296.056837,519,51.0
1597518297.3317184,524,51.0
1597518297.5328126,525,36.0
1597518298.969785,531,51.0
1597518299.5401068,533,51.0
1597518299.7839339,534,51.0
1597518300.0359435,535,52.0
1597518300.2858202,536,51.0
1597518300.505071,537,43.0
1597518300.7377603,538,51.0
1597518300.987882,539,51.0
1597518301.269888,540,46.0
1597518301.5323474,541,41.0
1597518301.8064082,542,51.0
1597518302.3605402,544,45.0
1597518303.151093,547,51.0
1597518303.4207091,548,51.0
1597518303.6966574,549,51.0
1597518304.2775562,551,51.0
1597518304.5535007,552,51.0
1597518305.3736699,555,51.0
1597518305.986357,557,51.0
1597518306.5452528,559,51.0
1597518306.839162,560,51.0
1597518307.7087905,563,51.0
1597518308.0222278,564,51.0
1597518308.3240964,565,46.0
1597518308.9523187,567,51.0
1597518309.22743,568,51.0
1597518309.4989865,569,51.0
1597518310.0519304,571,43.0
1597518310.6395566,573,51.0
1597518310.8889596,574,52.0
1597518311.7018697,577,51.0
1597518311.9987736,578,51.0
1597518312.2382565,579,41.0
1597518312.521194,580,51.0
1597518312.8634896,581,51.0
1597518313.1126935,582,46.0
1597518313.354302,583,48.0
1597518313.7184694,584,51.0
1597518314.2121463,586,51.0
1597518314.4682977,587,51.0
1597518315.441643,591,51.0
1597518315.7051554,592,51.0
1597518315.9666696,593,51.0
1597518316.4388103,595,35.0
1597518316.6914496,596,52.0
1597518316.9842896,597,51.0
1597518317.289247,598,51.0
1597518317.8642144,600,51.0
1597518318.3924532,602,51.0
1597518318.8957171,604,51.0
1597518319.4583392,606,51.0
1597518319.9811594,608,46.0
1597518320.5112484,610,51.0
1597518320.7815316,611,51.0
1597518321.0304673,612,51.0
1597518321.8409457,615,48.0
1597518322.783971,619,41.0
1597518323.0463388,620,51.0
1597518323.627088,622,51.0
1597518323.912244,623,51.0
1597518324.460283,625,51.0
1597518325.298167,629,51.0
1597518325.559169,630,51.0
1597518326.1001966,632,51.0
1597518326.6395814,634,51.0
1597518327.6858125,638,51.0
1597518328.3188457,641,44.0
1597518328.5528677,642,51.0
1597518329.0326028,644,51.0
1597518329.2741194,645,51.0
1597518329.5154388,646,51.0
1597518329.722351,647,41.0
1597518329.968548,648,52.0
1597518330.1752996,649,39.0
1597518330.4000442,650,51.0
1597518330.6568458,651,51.0
1597518330.897913,652,51.0
1597518331.575957,656,36.0
1597518331.7429776,657,36.0
1597518332.2194965,659,51.0
1597518332.710971,661,51.0
1597518333.3876107,664,51.0
1597518333.8506017,666,44.0
1597518334.08311,667,51.0
1597518334.3586586,668,51.0
1597518335.0548358,671,36.0
1597518335.2355924,672,39.0
1597518335.4296734,673,41.0
1597518335.6585479,674,51.0
1597518335.8994102,675,51.0
1597518336.3221314,677,51.0
1597518336.6105633,678,51.0
1597518336.849885,679,51.0
1597518337.3456998,681,43.0
1597518337.5669158,682,38.0
1597518337.8247826,683,51.0
1597518338.0915725,684,49.0
1597518338.3667564,685,51.0
1597518338.649662,686,52.0
1597518339.1323223,688,51.0
1597518339.3982606,689,51.0
1597518340.196294,692,51.0
1597518341.2607772,696,51.0
1597518341.940192,699,51.0
1597518342.1365602,700,30.0
1597518342.3623483,701,51.0
1597518342.670952,702,51.0
1597518342.9607155,703,52.0
1597518343.2966318,704,51.0
1597518343.5478222,705,36.0
1597518343.725851,706,33.0
1597518344.1495717,708,29.0
1597518344.309642,709,32.0
1597518344.5526228,710,51.0
1597518345.4257128,714,19.0
1597518346.5201073,718,51.0
1597518346.7849026,719,51.0
1597518347.3321173,721,51.0
1597518347.612266,722,51.0
1597518347.8986435,723,51.0
1597518348.1834974,724,51.0
1597518348.4770873,725,51.0
1597518348.77116,726,51.0
1597518349.609211,729,51.0
1597518349.8931515,730,51.0
1597518350.2064576,731,51.0
1597518351.265552,736,32.0
1597518351.5961463,738,31.0
1597518351.8494973,739,51.0
1597518352.0658731,740,38.0
1597518352.263127,741,35.0
1597518352.5422106,743,34.0
1597518353.2501507,746,51.0
1597518353.4781766,747,43.0
1597518354.2593384,750,51.0
1597518354.5284379,751,51.0
1597518354.7471025,752,41.0
1597518355.4501433,754,51.0
1597518355.9455793,756,33.0
1597518356.6578271,759,51.0
1597518356.8679721,760,35.0
1597518357.3878057,762,51.0
1597518358.1339865,765,51.0
1597518358.4511762,766,51.0
1597518358.7533028,767,51.0
1597518359.3341758,769,51.0
1597518359.568928,770,38.0
1597518359.7961118,771,46.0
1597518360.0342813,772,51.0
1597518360.2757666,773,51.0
1597518360.5582337,774,51.0
1597518360.8575473,775,51.0
1597518361.1390746,776,51.0
1597518361.89188,779,51.0
1597518362.1844537,780,51.0
1597518363.258033,784,52.0
1597518363.5092616,785,51.0
1597518364.0041897,787,51.0
1597518364.4662817,789,51.0
1597518365.0076277,791,51.0
1597518365.2616465,792,51.0
1597518365.5200737,793,51.0
1597518365.7794027,794,51.0
1597518365.9628725,795,31.0
1597518366.1500401,796,39.0
1597518366.6482584,798,51.0
1597518367.197974,800,51.0
1597518367.7492163,802,51.0
1597518368.535388,805,51.0
1597518368.7964098,806,51.0
1597518369.082314,807,51.0
1597518369.3575954,808,51.0
1597518369.6282454,809,51.0
1597518370.0503247,811,51.0
1597518370.5348241,813,51.0
1597518370.942272,815,30.0
1597518371.0623353,816,23.0
1597518371.512996,818,38.0
1597518372.193733,821,51.0
1597518372.7154758,823,51.0
1597518372.9363964,824,38.0
1597518373.1139576,825,35.0
1597518373.8501277,828,38.0
1597518374.4738522,831,51.0
1597518374.7497303,832,51.0
1597518375.1738162,834,44.0
1597518375.66348,836,51.0
1597518376.1421633,838,33.0
1597518376.3090007,839,32.0
1597518377.1189158,843,51.0
1597518377.5056415,845,48.0
1597518377.6687696,846,26.0
1597518377.9355135,847,51.0
1597518378.1772614,848,51.0
1597518378.6765766,850,51.0
1597518378.936216,851,51.0
1597518379.100102,852,26.0
1597518379.263938,853,39.0
1597518380.0289462,857,35.0
1597518380.5449529,859,51.0
1597518380.8016791,860,51.0
1597518381.0068264,861,25.0
1597518381.166754,862,23.0
1597518381.3718138,863,51.0
1597518382.2075098,867,51.0
1597518382.8581545,869,51.0
1597518383.1590364,870,51.0
1597518383.890687,873,27.0
1597518384.1051228,874,51.0
1597518384.359609,875,51.0
1597518384.561836,876,26.0
1597518384.7850938,877,51.0
1597518385.2358627,879,30.0
1597518385.4291036,880,29.0
1597518385.7428796,881,51.0
1597518385.9249043,882,24.0
1597518386.456685,884,51.0
1597518387.1181014,887,35.0
1597518387.51434,889,28.0
1597518387.6547284,890,29.0
1597518387.976067,892,38.0
