Wall time,Step,Value
1597518157.7748594,5,152.0
1597518158.0084455,6,253.0
1597518158.9875166,10,152.0
1597518159.234497,11,253.0
1597518159.714393,13,354.0
1597518159.9641018,14,152.0
1597518160.2011952,15,152.0
1597518160.440215,16,253.0
1597518160.686329,17,354.0
1597518160.9470615,18,152.0
1597518161.2092974,19,152.0
1597518161.4521933,20,152.0
1597518162.4382913,24,253.0
1597518162.676955,25,253.0
1597518164.707253,33,152.0
1597518164.9590285,34,152.0
1597518165.5309658,36,354.0
1597518166.2677689,39,152.0
1597518166.522593,40,354.0
1597518167.0323987,42,354.0
1597518167.2731292,43,455.0
1597518167.5293105,44,253.0
1597518167.7759147,45,152.0
1597518168.2465491,47,51.0
1597518168.715435,49,253.0
1597518168.949542,50,51.0
1597518169.7428515,53,152.0
1597518170.010348,54,253.0
1597518170.2747653,55,253.0
1597518170.5331728,56,354.0
1597518170.7960536,57,253.0
1597518171.58024,60,253.0
1597518171.8768594,61,253.0
1597518172.4364452,63,354.0
1597518172.9416313,65,51.0
1597518173.1960917,66,253.0
1597518173.4595933,67,354.0
1597518173.7209127,68,253.0
1597518174.526919,71,253.0
1597518174.7982397,72,354.0
1597518175.0738986,73,354.0
1597518175.33917,74,253.0
1597518175.8734841,76,354.0
1597518176.8064153,79,252.0
1597518178.302326,84,152.0
1597518178.568338,85,455.0
1597518178.8308163,86,253.0
1597518179.13566,87,152.0
1597518179.38567,88,455.0
1597518179.630802,89,455.0
1597518180.9671886,94,454.0
1597518183.026555,102,354.0
1597518183.6280947,104,253.0
1597518183.9280686,105,253.0
1597518184.2898142,106,253.0
1597518186.2786725,113,354.0
1597518187.2418852,116,354.0
1597518187.752422,118,253.0
1597518187.9899669,119,253.0
1597518188.237437,120,353.0
1597518189.2212257,124,253.0
1597518189.469958,125,354.0
1597518189.7343495,126,354.0
1597518190.5233977,129,253.0
1597518190.7862446,130,152.0
1597518191.6416967,133,354.0
1597518192.615654,137,354.0
1597518193.0945525,139,253.0
1597518193.582959,141,253.0
1597518193.8216784,142,253.0
1597518194.06798,143,354.0
1597518194.3079689,144,253.0
1597518194.7865746,146,253.0
1597518195.273034,148,253.0
1597518195.7754478,150,152.0
1597518196.7048802,153,253.0
1597518196.9426851,154,455.0
1597518197.1878264,155,253.0
1597518197.6869183,157,253.0
1597518197.9462402,158,354.0
1597518198.186242,159,152.0
1597518198.9140546,162,51.0
1597518199.4230125,164,253.0
1597518199.661568,165,354.0
1597518200.1523983,167,354.0
1597518200.4109306,168,354.0
1597518201.150485,171,354.0
1597518202.2451265,175,354.0
1597518202.506598,176,354.0
1597518202.7472017,177,253.0
1597518202.982102,178,253.0
1597518203.4557772,180,354.0
1597518203.7067637,181,253.0
1597518204.2236829,183,253.0
1597518204.7108357,185,354.0
1597518204.9541483,186,354.0
1597518205.196452,187,455.0
1597518205.4340007,188,253.0
1597518206.0035849,190,354.0
1597518206.2726178,191,354.0
1597518208.0236967,198,455.0
1597518209.033385,202,562.0
1597518209.9368932,206,354.0
1597518210.1900854,207,253.0
1597518210.4413717,208,354.0
1597518211.4638495,212,354.0
1597518211.7002325,213,253.0
1597518211.9372675,214,253.0
1597518212.1760342,215,354.0
1597518212.9310107,218,354.0
1597518213.1937554,219,253.0
1597518213.976296,222,354.0
1597518214.234176,223,354.0
1597518214.7505991,225,253.0
1597518215.0060232,226,354.0
1597518215.2826107,227,354.0
1597518215.8591275,229,253.0
1597518216.1320074,230,152.0
1597518216.4261346,231,354.0
1597518216.7503145,232,354.0
1597518217.0502765,233,354.0
1597518217.3860188,234,455.0
1597518218.2186744,237,455.0
1597518218.5135152,238,354.0
1597518219.0268703,240,354.0
1597518220.1041641,244,555.0
1597518220.394299,245,455.0
1597518220.8912282,247,577.0
1597518221.3921595,249,455.0
1597518221.6817179,250,455.0
1597518223.175158,255,253.0
1597518224.0884645,258,455.0
1597518224.4270875,259,152.0
1597518224.7692735,260,354.0
1597518225.1193285,261,152.0
1597518225.713849,263,152.0
1597518226.885449,267,455.0
1597518227.4326086,269,354.0
1597518227.9999642,271,455.0
1597518228.290668,272,354.0
1597518228.5738044,273,354.0
1597518229.6350267,277,558.0
1597518229.8784137,278,455.0
1597518230.373361,280,354.0
1597518231.4067497,284,455.0
1597518232.7521696,289,354.0
1597518233.3298,291,152.0
1597518233.6115663,292,354.0
1597518234.4222784,295,354.0
1597518234.9188023,297,455.0
1597518235.1572158,298,354.0
1597518235.43658,299,561.0
1597518235.984377,301,152.0
1597518236.2494159,302,455.0
1597518236.5281487,303,253.0
1597518237.6456616,307,152.0
1597518237.9331777,308,152.0
1597518238.4813812,310,51.0
1597518239.3316946,313,51.0
1597518240.4621127,317,152.0
1597518240.7390842,318,354.0
1597518241.0195491,319,354.0
1597518241.292953,320,152.0
1597518241.8017795,322,253.0
1597518242.508568,325,152.0
1597518242.7409768,326,152.0
1597518242.979637,327,354.0
1597518243.7184212,330,354.0
1597518243.9802725,331,253.0
1597518244.463934,333,354.0
1597518245.9298096,339,152.0
1597518246.432611,341,253.0
1597518246.9542277,343,152.0
1597518247.2090218,344,354.0
1597518247.5163388,345,253.0
1597518248.0131223,347,354.0
1597518248.2820647,348,354.0
1597518249.6560168,353,253.0
1597518249.9223847,354,455.0
1597518250.4473395,356,152.0
1597518250.9454699,358,253.0
1597518251.184759,359,354.0
1597518251.423385,360,354.0
1597518252.159834,363,565.0
1597518252.4097087,364,253.0
1597518252.6792543,365,253.0
1597518253.2368743,367,354.0
1597518253.514313,368,253.0
1597518254.1037104,370,253.0
1597518254.458463,371,152.0
1597518254.9904752,373,455.0
1597518255.5160835,375,455.0
1597518256.103882,377,455.0
1597518256.3797853,378,253.0
1597518256.6556923,379,152.0
1597518257.2235558,381,152.0
1597518257.4935534,382,455.0
1597518258.2360713,385,253.0
1597518258.5086358,386,253.0
1597518258.749327,387,152.0
1597518258.9903417,388,253.0
1597518259.481089,390,354.0
1597518259.7322292,391,253.0
1597518260.0073912,392,455.0
1597518260.2838974,393,354.0
1597518262.5898778,402,152.0
1597518262.8615057,403,354.0
1597518263.3746567,405,253.0
1597518264.2023678,408,253.0
1597518266.2641587,415,253.0
1597518266.5453985,416,354.0
1597518267.77548,420,455.0
1597518268.1189861,421,455.0
1597518268.4901888,422,454.0
1597518269.2325869,424,455.0
1597518270.0417807,426,354.0
1597518270.7754214,428,568.0
1597518271.3248613,430,455.0
1597518273.6651943,439,455.0
1597518273.9401927,440,455.0
1597518274.2324433,441,455.0
1597518274.511067,442,354.0
1597518275.0719113,444,455.0
1597518275.2885559,445,566.0
1597518276.0344064,448,455.0
1597518276.7824833,451,152.0
1597518278.3236978,457,455.0
1597518278.595315,458,354.0
1597518278.8620632,459,354.0
1597518279.1271608,460,455.0
1597518279.3952024,461,353.0
1597518279.9239547,463,253.0
1597518280.1735187,464,253.0
1597518280.4227428,465,455.0
1597518280.9481575,467,354.0
1597518281.2323616,468,354.0
1597518281.5021372,469,354.0
1597518282.1081347,471,354.0
1597518282.6659431,473,354.0
1597518282.929967,474,354.0
1597518284.0603216,478,354.0
1597518286.0721724,485,455.0
1597518286.9108872,488,455.0
1597518287.159598,489,455.0
1597518287.7402303,491,455.0
1597518288.3245077,493,455.0
1597518289.3444748,496,455.0
1597518291.7815309,503,354.0
1597518292.6132674,506,253.0
1597518292.8730433,507,253.0
1597518293.667403,510,354.0
1597518293.9526117,511,253.0
1597518294.2076375,512,455.0
1597518294.709077,514,354.0
1597518295.0363886,515,51.0
1597518295.2893286,516,354.0
1597518295.5383031,517,354.0
1597518296.0566933,519,253.0
1597518297.331583,524,455.0
1597518297.5326877,525,571.0
1597518298.9696615,531,455.0
1597518299.539975,533,455.0
1597518299.7837965,534,455.0
1597518300.0357966,535,454.0
1597518300.2856953,536,455.0
1597518300.5049407,537,564.0
1597518300.7376356,538,354.0
1597518300.987757,539,354.0
1597518301.2697263,540,561.0
1597518301.5321755,541,566.0
1597518301.8062835,542,455.0
1597518302.3604126,544,562.0
1597518303.1509488,547,354.0
1597518303.4205117,548,455.0
1597518303.696515,549,354.0
1597518304.2774057,551,455.0
1597518304.5533535,552,455.0
1597518305.3735285,555,354.0
1597518305.9861875,557,455.0
1597518306.5451188,559,354.0
1597518306.839014,560,354.0
1597518307.7086487,563,253.0
1597518308.0220726,564,455.0
1597518308.3239448,565,561.0
1597518308.9521801,567,455.0
1597518309.2272797,568,253.0
1597518309.4988465,569,455.0
1597518310.0517817,571,564.0
1597518310.639431,573,455.0
1597518310.8887367,574,151.0
1597518311.701725,577,354.0
1597518311.9986267,578,455.0
1597518312.238106,579,566.0
1597518312.5210564,580,455.0
1597518312.863356,581,455.0
1597518313.1124647,582,561.0
1597518313.3541636,583,559.0
1597518313.7183082,584,354.0
1597518314.212002,586,354.0
1597518314.4681506,587,455.0
1597518315.4415076,591,455.0
1597518315.7049463,592,354.0
1597518315.9665267,593,152.0
1597518316.43866,595,572.0
1597518316.6912892,596,555.0
1597518316.9840746,597,455.0
1597518317.2890887,598,354.0
1597518317.8640661,600,152.0
1597518318.392302,602,253.0
1597518318.8955863,604,354.0
1597518319.4581914,606,152.0
1597518319.9810314,608,561.0
1597518320.5111089,610,354.0
1597518320.7814033,611,253.0
1597518321.0303447,612,354.0
1597518321.8408067,615,559.0
1597518322.7838216,619,566.0
1597518323.0461903,620,455.0
1597518323.626942,622,152.0
1597518323.9120767,623,354.0
1597518324.460144,625,455.0
1597518325.2980342,629,455.0
1597518325.5590312,630,455.0
1597518326.100062,632,455.0
1597518326.6394262,634,455.0
1597518327.685628,638,354.0
1597518328.3187065,641,563.0
1597518328.552685,642,455.0
1597518329.0324342,644,253.0
1597518329.2739875,645,354.0
1597518329.515311,646,354.0
1597518329.722227,647,566.0
1597518329.9684055,648,555.0
1597518330.1751761,649,568.0
1597518330.3999147,650,354.0
1597518330.6567204,651,253.0
1597518330.8977792,652,455.0
1597518331.5758333,656,571.0
1597518331.7428517,657,571.0
1597518332.2193644,659,455.0
1597518332.7108471,661,455.0
1597518333.3874424,664,455.0
1597518333.8504753,666,563.0
1597518334.0829852,667,455.0
1597518334.3584778,668,455.0
1597518335.0547082,671,571.0
1597518335.235449,672,568.0
1597518335.4295518,673,566.0
1597518335.6584241,674,152.0
1597518335.8992808,675,152.0
1597518336.321996,677,354.0
1597518336.6104343,678,455.0
1597518336.8497205,679,455.0
1597518337.3455405,681,564.0
1597518337.5667663,682,569.0
1597518337.8246446,683,455.0
1597518338.091415,684,558.0
1597518338.3666124,685,253.0
1597518338.6495235,686,555.0
1597518339.1321766,688,455.0
1597518339.3981035,689,455.0
1597518340.19613,692,455.0
1597518341.260587,696,455.0
1597518341.940068,699,455.0
1597518342.136429,700,577.0
1597518342.3622172,701,354.0
1597518342.6707988,702,455.0
1597518342.960563,703,454.0
1597518343.2964444,704,253.0
1597518343.5476959,705,571.0
1597518343.725718,706,574.0
1597518344.149437,708,578.0
1597518344.3094752,709,575.0
1597518344.5524464,710,455.0
1597518345.425566,714,588.0
1597518346.519937,718,152.0
1597518346.7847774,719,253.0
1597518347.331984,721,455.0
1597518347.6121297,722,354.0
1597518347.898506,723,354.0
1597518348.1833622,724,455.0
1597518348.476952,725,354.0
1597518348.77102,726,354.0
1597518349.6090775,729,455.0
1597518349.8930116,730,455.0
1597518350.206305,731,253.0
1597518351.2653718,736,575.0
1597518351.5960057,738,576.0
1597518351.8493595,739,51.0
1597518352.0657294,740,569.0
1597518352.2629888,741,572.0
1597518352.5420706,743,573.0
1597518353.2500267,746,51.0
1597518353.47804,747,564.0
1597518354.259187,750,354.0
1597518354.5283084,751,455.0
1597518354.7469563,752,566.0
1597518355.4499896,754,253.0
1597518355.945411,756,574.0
1597518356.6576912,759,152.0
1597518356.86784,760,572.0
1597518357.3876624,762,354.0
1597518358.1338618,765,455.0
1597518358.451021,766,455.0
1597518358.7531393,767,455.0
1597518359.33402,769,253.0
1597518359.5687616,770,569.0
1597518359.7959778,771,561.0
1597518360.0341525,772,455.0
1597518360.2756422,773,354.0
1597518360.5579963,774,455.0
1597518360.8574073,775,354.0
1597518361.1389318,776,455.0
1597518361.8917313,779,253.0
1597518362.184299,780,51.0
1597518363.257907,784,353.0
1597518363.5091398,785,253.0
1597518364.0040662,787,354.0
1597518364.4661405,789,455.0
1597518365.007495,791,455.0
1597518365.2615132,792,455.0
1597518365.5198994,793,253.0
1597518365.779259,794,455.0
1597518365.9627376,795,576.0
1597518366.149897,796,568.0
1597518366.6481245,798,455.0
1597518367.1978369,800,354.0
1597518367.7490776,802,455.0
1597518368.5352373,805,354.0
1597518368.7962754,806,455.0
1597518369.0821414,807,354.0
1597518369.357443,808,455.0
1597518369.6280937,809,354.0
1597518370.0502017,811,455.0
1597518370.5346918,813,455.0
1597518370.9421475,815,577.0
1597518371.0622132,816,584.0
1597518371.5128748,818,569.0
1597518372.1935985,821,455.0
1597518372.7153,823,455.0
1597518372.9361572,824,569.0
1597518373.1138294,825,572.0
1597518373.8499858,828,569.0
1597518374.4736936,831,455.0
1597518374.7495775,832,455.0
1597518375.173678,834,563.0
1597518375.6633232,836,455.0
1597518376.14198,838,574.0
1597518376.3088107,839,575.0
1597518377.1187632,843,455.0
1597518377.5055065,845,559.0
1597518377.6686358,846,581.0
1597518377.935387,847,455.0
1597518378.1771374,848,455.0
1597518378.6764538,850,354.0
1597518378.9360805,851,455.0
1597518379.099977,852,581.0
1597518379.2638118,853,568.0
1597518380.0287793,857,572.0
1597518380.5448177,859,354.0
1597518380.8015513,860,455.0
1597518381.0066872,861,582.0
1597518381.1665967,862,584.0
1597518381.371643,863,253.0
1597518382.2073398,867,455.0
1597518382.8580086,869,253.0
1597518383.1588883,870,354.0
1597518383.8905482,873,580.0
1597518384.1049569,874,455.0
1597518384.3594446,875,455.0
1597518384.5617056,876,581.0
1597518384.7849536,877,354.0
1597518385.2356305,879,577.0
1597518385.4289498,880,578.0
1597518385.742706,881,354.0
1597518385.9247742,882,583.0
1597518386.4565208,884,455.0
1597518387.1179743,887,572.0
1597518387.514219,889,579.0
1597518387.6546,890,578.0
1597518387.9759407,892,569.0
1597518388.134818,893,576.0
1597518388.2760131,894,576.0
1597518388.7176716,896,455.0
1597518388.9152358,897,573.0
1597518389.1907701,899,569.0
1597518389.3504536,900,574.0
1597518390.0070932,905,577.0
1597518390.4361863,907,455.0
1597518390.6187472,908,579.0
1597518390.8575852,909,455.0
1597518391.058924,910,578.0
1597518391.2421236,911,582.0
1597518391.39445,912,578.0
1597518391.5322773,913,582.0
1597518391.8283033,915,575.0
1597518391.960219,916,584.0
1597518392.0765514,917,585.0
1597518392.474616,920,584.0
1597518392.7436001,921,253.0
1597518392.9169946,922,582.0
1597518393.1766484,923,455.0
1597518393.5802724,925,575.0
1597518394.6082761,931,579.0
1597518394.8181093,932,455.0
1597518395.0006533,933,576.0
1597518395.2627392,935,578.0
1597518396.0747955,939,455.0
1597518396.725071,942,152.0
1597518397.2353046,945,584.0
1597518397.9037085,948,455.0
1597518398.161897,949,563.0
1597518398.6683474,952,578.0
1597518398.840871,953,574.0
1597518399.0940733,954,152.0
1597518399.6572912,956,354.0
1597518399.865604,957,576.0
1597518400.016199,958,582.0
1597518400.3160055,960,579.0
1597518400.5316482,961,572.0
1597518400.742592,962,566.0
1597518400.9142861,963,578.0
1597518401.0910199,964,574.0
1597518401.4128115,966,576.0
1597518401.58663,967,574.0
1597518401.8600018,969,583.0
1597518402.260703,971,573.0
1597518402.5054011,972,253.0
1597518402.864049,974,575.0
1597518403.1691277,976,582.0
1597518403.3428698,977,574.0
1597518403.5273774,978,587.0
1597518403.7587829,979,455.0
1597518404.388036,982,561.0
1597518404.689387,983,354.0
1597518404.844627,984,582.0
1597518405.1894495,987,584.0
1597518405.2913337,988,584.0
1597518406.4475582,996,585.0
1597518407.0066333,999,576.0
1597518407.1362948,1000,581.0
1597518407.7019873,1002,50.0
